ID,Você conhece e já utilizou o Simulador de Aposentadoria no SOUGOV.BR?,Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência",Eu achei o Simulador de Aposentadoria muito complexo,"2
Eu achei o Simulador de Aposentadoria muito complexo",Eu achei o Simulador de Aposentadoria fácil de usar,"3
Eu achei o Simulador de Aposentadoria fácil de usar",Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria,"4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria",Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas,"5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas",Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência,"6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência",Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente,"7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente",Eu achei o Simulador de Aposentadoria difícil de usar,"8
Eu achei o Simulador de Aposentadoria difícil de usar",Eu me senti confiante usando o Simulador de Aposentadoria,"9
Eu me senti confiante usando o Simulador de Aposentadoria","Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria.","Some a pontuação total de todas as questões ímpares (questões 1, 3, 5, 7 e 9) e, em seguida, subtraia 5 do total para obter (X).","Some a pontuação total de todas as questões de número par (questões 2, 4, 6, 8 e 10), então subtraia esse total de 25 para obter (Y).","Some a pontuação total dos novos valores (X+Y) e multiplique por 2,5.",clean_text
46,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,"O final da simulação sai zerada e ele não está considerando o tempo de serviço em outros locais, no meu caso passei 3 anos em concurso municipal que não estão sendo levados em conta.",10,13,"57,5",sair zerar considerar outro passar ano concurso municipal levar conta
47,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,17,19,90,
49,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,,14,12,65,
52,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Seria interessante simular valor no caso de optar pelo RPC,14,15,"72,5",interessante optar rpc
56,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,13,18,"77,5",
57,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,,16,13,"72,5",
58,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não consegui fazer a simulação, pois só considera o tempo trabalhado no IBGE. Aí não serve para nada.",10,8,45,conseguir considerar trabalhar ibge servir
59,Sim,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Concordo totalmente,5,,8,10,45,
61,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Achei o simulador fácil de utilizar ,17,20,"92,5",facil utilizar
63,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Só não consegui saber se poderei me aposentar porque ainda não consegui a averbação das minhas atividades anteriores quando da minha entrada no serviço público federal. Tenho certeza que vou conseguir resolver em breve essa questão. Muito obrigado.,20,20,100,conseguir conseguir averbacao atividade anterior entrada publico federal conseguir resolver
65,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,,15,5,50,
66,Sim,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,,10,10,50,
67,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Hshdhdh,20,16,90,hshdhdh
69,Sim,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Sugiro inserir na simulação, não apenas as datas, mas os valores, com base no contracheque mais atual, informando, obviamente, que não são valores gerados apenas para simulação.",13,15,70,sugiro inserir data base contracheque atual informar obviamente gerar
70,Sim,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,"O meu simulador não levou em conta o tempo de averbação que eu já fiz, fiquei desesperado.",5,6,"27,5",levar conta averbacao fiz fiquei desesperar
74,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Achei simples e fácil de usar, além de muito oportuno, pois é uma demanda grande para nós que trabalhamos na gestão de pessoas.  ",18,20,95,simples facil oportuno demanda trabalhar gestao pessoa
76,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Apesar de nos ""dados temporais"" constar que eu tenho 22 anos de serviço público (03 anos de serviço público estadual + 19 anos de federal), o que está correto, a data de início no serviço público desconsidera o meu tempo de serviço estadual, apesar de averbado.
Assim, ao invés de estar registrado 15.07.2002 (data de início no serviço público, ainda que estadual), consta 05.09.2005 (data de início no serviço público federal), o que faz com que a simulação de aposentadoria esteja INCORRETA.
",12,20,80,apesar dado temporal constar ano publico ano publico estadual ano federal correto data publico desconsiderar estadual apesar averbado inves registrar data publico estadual constar data publico federal incorreto
81,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Acho que seria interessante que o simulador escolhesse ou ajudasse a escolher a melhor lei para a gente optar na hora de se aposentar. ,18,7,"62,5",interessante escolher ajudar escolher lei gente optar hora
83,Sim,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,NO consegui finalizar a simulação.,7,10,"42,5",conseguir finalizar
86,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"O cálculo da minha aposentadoria está estranho. Eu tenho 29 anos se serviço público federal, tomei posse em novembro de 1995. O cálculo indica que tenho 24 anos. Consultei o RH do instituto mas não obtive sucesso. Outro fato é que não tem a opção de aposentadoria especial e nem a conversão do tempo especial em comum.
Respeitosamente,
Renato Semmler
Funcionário do IPEN - CNEN
CEREP 1178807",14,16,75,calculo estranho ano publico federal tomeir posse novembro calculo indicar ano consultar instituto obtiver sucesso outro fato opcao especial conversao especial comum respeitosamente renato semmler funcionario ipen cnen cerep
87,Sim,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,"O simulador não retornou nada, nem mesmo a prévia que o mesmo informa, então para mim não houve utilidade do mesmo.",4,17,"52,5",retornar previa informar utilidade
92,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Concordo parcialmente,4,,19,8,"67,5",
94,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"O simulador deveria importar os dados do Meu INSS e da Carteira de Trabalho Digital, fornecendo informações coerentes sobre o tempo de aposentadoria. E não focando apenas no tempo de serviço publico do SIAPE atual.
Sei que breve teremos novidades e um recurso muito melhor, quem sabe, até averbando automáticamente o tempo de serviço do servidor em outros locais.",6,13,"47,5",importar dado inss carteira trabalho digital fornecer informacao coerente focar publico siape atual novidade recurso averbar automaticamente outro
96,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,,14,14,70,
97,Sim,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,"Esse simulador de aposentadoria não me contemplou,  pois sou PCD, e não foi possível realizar a simulação de aposentadoria. Ingressei no Ibge em vaga PCD e por lei posso me aposentar com 60 anos , só que o simulador  proporciona esta simulação pra PCD.",4,17,"52,5",contemplar pcd realizar ingressei ibge vaga pcd lei ano proporcionar pra pcd
98,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,"O simulador não abre a regra de transição para quem entrou no serviço público em 2002. Só da a opção de aposentadoria com a media de todos os salários, portanto não mostra a realidade para servidores antigos.",13,13,65,abrir regra transicao entrar publico opcao media salario mostrar realidade antigo
100,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Gostei muito do simulador. Sou deficiente visual cadastrado no SIAPE como tal e o sistema não oferece a opção de aposentadoria especial.
Gostaria de aferir se os valores informados são realmente confiáveis",19,17,90,gostar deficiente visual cadastrar siape oferecer opcao especial gostar aferir informar realmente confiavel
102,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,É uma ferramenta  muito útil no momento em que os departamentos de RH estão sobrecarregados e com pouco pessoal. Como o programa faz a previsão da aposentadoria ele acaba permitindo sabermos quando podemos solicitar nosso abono permanência se esse for o objetivo. Parabéns aos responsáveis.,20,20,100,ferramenta util departamento sobrecarregado pessoal programa previsao acabar permitir sabermos solicitar abono permanencia objetivo parabens responsavel
107,Sim,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Sempre é bom ter uma pessoa que saiba ajudar os futuros aposentados,10,10,50,pessoa ajudar futuro aposentado
108,Sim,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,16,20,90,
109,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Poderia informar a data provável para aposentadoria, mas também a do abono de permanência.",18,17,"87,5",informar data provavel abono permanencia
110,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Em várias simulações ele não apresenta nem a data provável da aposentadoria e nem o cálculo dos proventos.,15,10,"62,5",varias data provavel calculo provento
111,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,15,17,80,
120,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Acho que agregaria muito só simulador a remuneração estimada no término da simulação.,15,14,"72,5",agregariar remuneracao estimar termino
122,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Parabéns para todos que colaboraram com a criação e manutenção desse simulador. 
Ele é muito importante em indicar um norte fundamental para o planejamento do orçamento individual.",20,18,95,parabens colaborar criacao manutencao importante indicar norte fundamental planejamento orcamento individual
124,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"O simulador precisa ser aperfeiçoado quanto ao percentual da a ser recebido da média das contribuições segundo regra do § 2º do art. 26 da EC 103/2019.
O simulador precisa incorporar o cálculo do benefício especial, pois esse valor fica definido no momento da adesão ao RPC, apenas sendo reajustado pela inflação.",17,16,"82,5",precisar aperfeicoar percentual receber media contribuicao regra art precisar incorporar calculo beneficio especial definido adesao rpc reajustar inflacao
126,Sim,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Omsimulador deveria no final mostrar o que seria retirado após conclusão da simulação, isto é, detalhar o que seria realmente pago!",7,11,45,omsimulador mostrar retirar conclusao detalhar realmente pagar
127,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,"Possuo uma certidão de tempo que não foi contabilizada na contagem. A certidão está no meu assentamento já averbada. 
Gostaria que alguém me auxiliasse ou dese retorno. 
Anderson Miron
Auditor Fiscal do Trabalho
",13,15,70,possuor certidao contabilizar contagem certidao assentamento averbar gostar alguem auxiliassar dese retorno andersonr miron auditor fiscal trabalho
128,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,,10,15,"62,5",
130,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,,18,7,"62,5",
131,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"A possibilidade, em alguns fundamentos legais, de dispensar as piores contribuições previdenciárias, não fica clara de como será a disponibilização quando solicitarmos a aposentadoria. Como expressarmos esse desejo?",20,20,100,possibilidade algum fundamento legal dispensar piores contribuicao previdenciario claro disponibilizacao solicitarmos expressarr desejo
132,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Sugiro ampliarem o cálculo fazendo uma projeção, mesmo que com ressalvas, para quem ainda não preencheu os requisitos para a aposentadoria ",14,18,80,sugiro ampliar calculo projecao ressalva preencheu requisito
134,Sim,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,17,20,"92,5",
135,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,Não tenho.,9,14,"57,5",
136,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,,15,16,"77,5",
137,Sim,Concordo totalmente,5,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,"É uma ferramenta muito útil e que eu sentia bastante falta. Certeza que será sucesso! 
No entanto, o campo onde precisamos eleger qual o tipo de aposentadoria precisa ser melhor orientado.
Todas as opções que apareceram pra mim estão realmente disponíveis?
São muitas opções que permitem uma confusão. Elas poderiam ser mais claras.
",10,7,"42,5",ferramenta util sentir faltar sucesso entanto campo precisar eleger precisar orientar opcao aparecer pra realmente disponivel opcao permitir confusao claro
139,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,,20,19,"97,5",
140,Sim,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,,9,10,"47,5",
141,Sim,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"O motivo que fez com que eu discordasse de tudo, é fato desse simulador não me contemplar ,já que sou PCD e essa simulação não tem essa opção. Minha sugestão: melhorem incluindo pessoa com PCD..",0,20,50,motivo discordar fato contemplar pcd opcao sugestao melhor incluir pessoa pcd
142,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não entendi o q é pedágio. Na minha simulação diz q poderei me aposentar com 57 anos e 100% de pedágio, o q quer dizer isso? Acho q tinha q ter uma aba explicando isso.

Gostaria do simulador de redução de carga horária.",12,17,"72,5",entendi pedagio ano pedagio querer aba explicar gostar reducao carga horario
