ID,Você conhece e já utilizou o Simulador de Aposentadoria no SOUGOV.BR?,Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência",Eu achei o Simulador de Aposentadoria muito complexo,"2
Eu achei o Simulador de Aposentadoria muito complexo",Eu achei o Simulador de Aposentadoria fácil de usar,"3
Eu achei o Simulador de Aposentadoria fácil de usar",Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria,"4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria",Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas,"5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas",Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência,"6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência",Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente,"7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente",Eu achei o Simulador de Aposentadoria difícil de usar,"8
Eu achei o Simulador de Aposentadoria difícil de usar",Eu me senti confiante usando o Simulador de Aposentadoria,"9
Eu me senti confiante usando o Simulador de Aposentadoria",Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria,"10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria.","Some a pontuação total de todas as questões ímpares (questões 1, 3, 5, 7 e 9) e, em seguida, subtraia 5 do total para obter (X).","Some a pontuação total de todas as questões de número par (questões 2, 4, 6, 8 e 10), então subtraia esse total de 25 para obter (Y).","Some a pontuação total dos novos valores (X+Y) e multiplique por 2,5.",clean_text,comment_in_english
63,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Só não consegui saber se poderei me aposentar porque ainda não consegui a averbação das minhas atividades anteriores quando da minha entrada no serviço público federal. Tenho certeza que vou conseguir resolver em breve essa questão. Muito obrigado.,20,20,100,conseguir conseguir averbacao atividade anterior entrada publico federal conseguir resolver,I just haven't been able to find out if I will be able to retire because I haven't yet managed to get my previous activities approved when I enter federal public service. I'm sure I'll be able to resolve this issue soon. thank you very much.
67,Sim,Concordo totalmente,5,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Hshdhdh,20,16,90,hshdhdh,Hshhhh
69,Sim,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Sugiro inserir na simulação, não apenas as datas, mas os valores, com base no contracheque mais atual, informando, obviamente, que não são valores gerados apenas para simulação.",13,15,70,sugiro inserir data base contracheque atual informar obviamente gerar,"I suggest inserting into the simulation, not just the dates, but the values, based on the most current paycheck, informing, obviously, that these are not values ​​generated just for simulation."
70,Sim,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,"O meu simulador não levou em conta o tempo de averbação que eu já fiz, fiquei desesperado.",5,6,"27,5",levar conta averbacao fiz fiquei desesperar,"My simulator didn't take into account the registration time I had already completed, I was desperate."
74,Sim,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Achei simples e fácil de usar, além de muito oportuno, pois é uma demanda grande para nós que trabalhamos na gestão de pessoas.  ",18,20,95,simples facil oportuno demanda trabalhar gestao pessoa,"I found it simple and easy to use, as well as very timely, as it is a big demand for those of us who work in people management."
76,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Apesar de nos ""dados temporais"" constar que eu tenho 22 anos de serviço público (03 anos de serviço público estadual + 19 anos de federal), o que está correto, a data de início no serviço público desconsidera o meu tempo de serviço estadual, apesar de averbado.
Assim, ao invés de estar registrado 15.07.2002 (data de início no serviço público, ainda que estadual), consta 05.09.2005 (data de início no serviço público federal), o que faz com que a simulação de aposentadoria esteja INCORRETA.
",12,20,80,apesar dado temporal constar ano publico ano publico estadual ano federal correto data publico desconsiderar estadual apesar averbado inves registrar data publico estadual constar data publico federal incorreto,"Although the ""time data"" states that I have 22 years of public service (3 years of state public service + 19 years of federal service), which is correct, the start date in public service disregards my time in state service, despite being endorsed. Thus, instead of being registered on 15.07.2002 (start date in public service, even if state), it is recorded as 05.09.2005 (start date in federal public service), which makes the retirement simulation is incorrect."
81,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Acho que seria interessante que o simulador escolhesse ou ajudasse a escolher a melhor lei para a gente optar na hora de se aposentar. ,18,7,"62,5",interessante escolher ajudar escolher lei gente optar hora,I think it would be interesting for the simulator to choose or help choose the best law for us to opt for when retiring.
83,Sim,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,NO consegui finalizar a simulação.,7,10,"42,5",conseguir finalizar,I was unable to finish the simulation.
86,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Não concordo, nem discordo",3,Concordo totalmente,5,Concordo totalmente,5,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"O cálculo da minha aposentadoria está estranho. Eu tenho 29 anos se serviço público federal, tomei posse em novembro de 1995. O cálculo indica que tenho 24 anos. Consultei o RH do instituto mas não obtive sucesso. Outro fato é que não tem a opção de aposentadoria especial e nem a conversão do tempo especial em comum.
Respeitosamente,
Renato Semmler
Funcionário do IPEN - CNEN
CEREP 1178807",14,16,75,calculo estranho ano publico federal tomeir posse novembro calculo indicar ano consultar instituto obtiver sucesso outro fato opcao especial conversao especial comum respeitosamente renato semmler funcionario ipen cnen cerep,"My retirement calculation is strange. I am 29 years old in federal public service, I took office in November 1995. The calculation indicates that I am 24 years old. I consulted the institute's HR department but was unsuccessful. Another fact is that there is no special retirement option nor the conversion of special time into common time. Respectfully, renato semmler ipen employee - cncecerep 1178807"
87,Sim,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,"O simulador não retornou nada, nem mesmo a prévia que o mesmo informa, então para mim não houve utilidade do mesmo.",4,17,"52,5",retornar previa informar utilidade,"The simulator didn't return anything, not even the preview that it reports, so for me it was of no use."
94,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"O simulador deveria importar os dados do Meu INSS e da Carteira de Trabalho Digital, fornecendo informações coerentes sobre o tempo de aposentadoria. E não focando apenas no tempo de serviço publico do SIAPE atual.
Sei que breve teremos novidades e um recurso muito melhor, quem sabe, até averbando automáticamente o tempo de serviço do servidor em outros locais.",6,13,"47,5",importar dado inss carteira trabalho digital fornecer informacao coerente focar publico siape atual novidade recurso averbar automaticamente outro,"The simulator should import data from my social security and digital work card, providing coherent information about retirement time. and not just focusing on the public service time of the current siape. I know that soon we will have news and a much better feature, who knows, even automatically recording the server's service time in other locations."
97,Sim,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,Discordo totalmente,1,Discordo parcialmente,2,Discordo parcialmente,2,"Esse simulador de aposentadoria não me contemplou,  pois sou PCD, e não foi possível realizar a simulação de aposentadoria. Ingressei no Ibge em vaga PCD e por lei posso me aposentar com 60 anos , só que o simulador  proporciona esta simulação pra PCD.",4,17,"52,5",contemplar pcd realizar ingressei ibge vaga pcd lei ano proporcionar pra pcd,"This retirement simulator did not include me, as I am a PCD, and it was not possible to carry out the retirement simulation. I joined IBGE in a PCD position and by law I can retire at the age of 60, but the simulator provides this simulation for PCDs."
98,Sim,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Concordo parcialmente,4,Concordo totalmente,5,Discordo parcialmente,2,Discordo parcialmente,2,Discordo parcialmente,2,"O simulador não abre a regra de transição para quem entrou no serviço público em 2002. Só da a opção de aposentadoria com a media de todos os salários, portanto não mostra a realidade para servidores antigos.",13,13,65,abrir regra transicao entrar publico opcao media salario mostrar realidade antigo,"The simulator does not open the transition rule for those who entered public service in 2002. It only gives the option of retirement with the average of all salaries, therefore it does not show the reality for former civil servants."
100,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Gostei muito do simulador. Sou deficiente visual cadastrado no SIAPE como tal e o sistema não oferece a opção de aposentadoria especial.
Gostaria de aferir se os valores informados são realmente confiáveis",19,17,90,gostar deficiente visual cadastrar siape oferecer opcao especial gostar aferir informar realmente confiavel,I really liked the simulator. I am visually impaired and registered with siape as such and the system does not offer the special retirement option. I would like to check whether the values ​​reported are really reliable
102,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,É uma ferramenta  muito útil no momento em que os departamentos de RH estão sobrecarregados e com pouco pessoal. Como o programa faz a previsão da aposentadoria ele acaba permitindo sabermos quando podemos solicitar nosso abono permanência se esse for o objetivo. Parabéns aos responsáveis.,20,20,100,ferramenta util departamento sobrecarregado pessoal programa previsao acabar permitir sabermos solicitar abono permanencia objetivo parabens responsavel,"It is a very useful tool at a time when HR departments are overworked and short on staff. As the program predicts retirement, it ends up allowing us to know when we can request our permanence allowance if that is the objective. congratulations to those responsible."
107,Sim,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Sempre é bom ter uma pessoa que saiba ajudar os futuros aposentados,10,10,50,pessoa ajudar futuro aposentado,It's always good to have someone who knows how to help future retirees.
109,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Poderia informar a data provável para aposentadoria, mas também a do abono de permanência.",18,17,"87,5",informar data provavel abono permanencia,"It could inform the probable date of retirement, but also the date of the permanence allowance."
110,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Concordo totalmente,5,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Em várias simulações ele não apresenta nem a data provável da aposentadoria e nem o cálculo dos proventos.,15,10,"62,5",varias data provavel calculo provento,"In several simulations, it does not present either the probable retirement date or the calculation of earnings."
120,Sim,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Acho que agregaria muito só simulador a remuneração estimada no término da simulação.,15,14,"72,5",agregariar remuneracao estimar termino,I think that just simulating the simulator would add a lot to the estimated remuneration at the end of the simulation.
122,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,"Não concordo, nem discordo",3,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"Parabéns para todos que colaboraram com a criação e manutenção desse simulador. 
Ele é muito importante em indicar um norte fundamental para o planejamento do orçamento individual.",20,18,95,parabens colaborar criacao manutencao importante indicar norte fundamental planejamento orcamento individual,Congratulations to everyone who collaborated with the creation and maintenance of this simulator. it is very important in indicating a fundamental guideline for individual budget planning.
124,Sim,Concordo totalmente,5,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Concordo parcialmente,4,Concordo totalmente,5,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"O simulador precisa ser aperfeiçoado quanto ao percentual da a ser recebido da média das contribuições segundo regra do § 2º do art. 26 da EC 103/2019.
O simulador precisa incorporar o cálculo do benefício especial, pois esse valor fica definido no momento da adesão ao RPC, apenas sendo reajustado pela inflação.",17,16,"82,5",precisar aperfeicoar percentual receber media contribuicao regra art precisar incorporar calculo beneficio especial definido adesao rpc reajustar inflacao,"The simulator needs to be improved in terms of the percentage of the amount to be received from the average contributions according to the rule in § 2 of art. 26 of ec 103/2019. the simulator needs to incorporate the calculation of the special benefit, as this value is defined at the time of joining the rpc, only being adjusted for inflation."
126,Sim,Discordo parcialmente,2,Concordo parcialmente,4,Concordo parcialmente,4,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Omsimulador deveria no final mostrar o que seria retirado após conclusão da simulação, isto é, detalhar o que seria realmente pago!",7,11,45,omsimulador mostrar retirar conclusao detalhar realmente pagar,"Themsimulator should ultimately show what would be withdrawn after completing the simulation, that is, detail what would actually be paid!"
127,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Concordo totalmente,5,"Não concordo, nem discordo",3,Discordo parcialmente,2,"Não concordo, nem discordo",3,Discordo totalmente,1,"Possuo uma certidão de tempo que não foi contabilizada na contagem. A certidão está no meu assentamento já averbada. 
Gostaria que alguém me auxiliasse ou dese retorno. 
Anderson Miron
Auditor Fiscal do Trabalho
",13,15,70,possuor certidao contabilizar contagem certidao assentamento averbar gostar alguem auxiliassar dese retorno andersonr miron auditor fiscal trabalho,I have a time certificate that was not included in the count. the certificate is in my settlement already registered. I would like someone to help me or get back to me. anderson miron labor tax auditor
131,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,"A possibilidade, em alguns fundamentos legais, de dispensar as piores contribuições previdenciárias, não fica clara de como será a disponibilização quando solicitarmos a aposentadoria. Como expressarmos esse desejo?",20,20,100,possibilidade algum fundamento legal dispensar piores contribuicao previdenciario claro disponibilizacao solicitarmos expressarr desejo,"The possibility, on some legal grounds, of waiving the worst social security contributions, it is not clear how this will be made available when we request retirement. How do we express this desire?"
132,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,"Não concordo, nem discordo",3,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,"Sugiro ampliarem o cálculo fazendo uma projeção, mesmo que com ressalvas, para quem ainda não preencheu os requisitos para a aposentadoria ",14,18,80,sugiro ampliar calculo projecao ressalva preencheu requisito,"I suggest expanding the calculation by making a projection, even if with reservations, for those who have not yet met the requirements for retirement"
135,Sim,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,Discordo totalmente,1,Não tenho.,9,14,"57,5",,I don't have.
137,Sim,Concordo totalmente,5,Concordo totalmente,5,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,"Não concordo, nem discordo",3,Discordo parcialmente,2,Concordo parcialmente,4,Discordo parcialmente,2,"Não concordo, nem discordo",3,"É uma ferramenta muito útil e que eu sentia bastante falta. Certeza que será sucesso! 
No entanto, o campo onde precisamos eleger qual o tipo de aposentadoria precisa ser melhor orientado.
Todas as opções que apareceram pra mim estão realmente disponíveis?
São muitas opções que permitem uma confusão. Elas poderiam ser mais claras.
",10,7,"42,5",ferramenta util sentir faltar sucesso entanto campo precisar eleger precisar orientar opcao aparecer pra realmente disponivel opcao permitir confusao claro,"It's a very useful tool and one that I really missed. I'm sure it will be a success! However, the field where we need to choose the type of retirement needs to be better guided. Are all the options that appeared to me really available? There are too many options that allow for confusion. they could be clearer."
141,Sim,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"O motivo que fez com que eu discordasse de tudo, é fato desse simulador não me contemplar ,já que sou PCD e essa simulação não tem essa opção. Minha sugestão: melhorem incluindo pessoa com PCD..",0,20,50,motivo discordar fato contemplar pcd opcao sugestao melhor incluir pessoa pcd,"The reason that made me disagree with everything is the fact that this simulator doesn't include me, since I'm a PCD and this simulation doesn't have that option. my suggestion: improve by including people with PCD.."
142,Sim,Concordo totalmente,5,Concordo parcialmente,4,Concordo parcialmente,4,Discordo totalmente,1,Concordo parcialmente,4,Discordo totalmente,1,Discordo totalmente,1,Discordo totalmente,1,"Não concordo, nem discordo",3,Discordo totalmente,1,"Não entendi o q é pedágio. Na minha simulação diz q poderei me aposentar com 57 anos e 100% de pedágio, o q quer dizer isso? Acho q tinha q ter uma aba explicando isso.

Gostaria do simulador de redução de carga horária.",12,17,"72,5",entendi pedagio ano pedagio querer aba explicar gostar reducao carga horario,"I don't understand what a toll is. In my simulation it says that I will be able to retire at the age of 57 and 100% toll, what does that mean? I think there should be a tab explaining this. I would like the workload reduction simulator."
149,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Concordo totalmente,5,Concordo parcialmente,4,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo parcialmente,2,Tanto que me ajudou a tomar a decisão da aposentadoria ,19,15,85,ajudar tomar decisao,So much so that it helped me make the decision to retire.
151,Sim,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Concordo parcialmente,4,"O simulador é ótimo, mas as informações não são f¿áceis de interpretar. No meu caso, por exemplo, que tenho 49 anos de serviço público, e tenho direito adquirido a qualquer das 7 simulações, somente consigo interpretar os resultados tendo lido a  Portaria SGP/SEDGG/ME Nº 10.360, de 6 de dezembro de 2022. Sem essas informações da Portaria fica complicada simplesmente pegar os dados extraídos.
Na prática qualquer servidor vai ter dúvida sobre qual opção poderá escolher para sua aposentadoria. ",17,17,85,informacao acel interpretar ano publico direito adquirir consigo interpretar resultado ler portaria sgp sedgg dezembro informacao portaria complicado simplesmente dado extrair pratica duvida opcao escolher,"The simulator is great, but the information is not easy to interpret. In my case, for example, I have 49 years of public service, and I have the acquired right to any of the 7 simulations, I can only interpret the results having read ordinance sgp/sedgg/me nº 10,360, of December 6, 2022. without This information from the ordinance makes it difficult to simply retrieve the extracted data. In practice, any employee will have doubts about which option they can choose for their retirement."
152,Sim,"Não concordo, nem discordo",3,Discordo totalmente,1,Concordo totalmente,5,Discordo totalmente,1,Discordo parcialmente,2,Concordo parcialmente,4,Discordo totalmente,1,Discordo totalmente,1,Discordo parcialmente,2,Discordo totalmente,1,"Já averbei meu tempo de serviço em outros órgãos públicos, no entanto falta ser computado no simulador. O tempo aparece no CNIS e na CTPS digital,  mas não aparece no simulador. ",8,17,"62,5",averbar outro orgao publico entanto faltar computar aparecer cnis ctps digital aparecer,"I have already registered my service time in other public bodies, however it remains to be computed in the simulator. the time appears in the cnis and digital ctps, but does not appear in the simulator."
