ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria",comments,X,Y,sus,clean_text
110,5,2,4,2,5,5,3,3,3,3,Em várias simulações ele não apresenta nem a data provável da aposentadoria e nem o cálculo dos proventos.,15,10,62.5,varias data provavel calculo provento
111,4,1,4,1,4,4,4,1,4,1,,15,17,80.0,
120,4,4,4,1,4,1,4,4,4,1,Acho que agregaria muito só simulador a remuneração estimada no término da simulação.,15,14,72.5,agregariar remuneracao estimar termino
122,5,1,5,1,5,3,5,1,5,1,"Parabéns para todos que colaboraram com a criação e manutenção desse simulador. 
Ele é muito importante em indicar um norte fundamental para o planejamento do orçamento individual.",20,18,95.0,parabens colaborar criacao manutencao importante indicar norte fundamental planejamento orcamento individual
124,5,2,4,1,4,4,5,1,4,1,"O simulador precisa ser aperfeiçoado quanto ao percentual da a ser recebido da média das contribuições segundo regra do § 2º do art. 26 da EC 103/2019.
O simulador precisa incorporar o cálculo do benefício especial, pois esse valor fica definido no momento da adesão ao RPC, apenas sendo reajustado pela inflação.",17,16,82.5,precisar aperfeicoar percentual receber media contribuicao regra art precisar incorporar calculo beneficio especial definido adesao rpc reajustar inflacao
126,2,4,4,4,3,4,2,1,1,1,"Omsimulador deveria no final mostrar o que seria retirado após conclusão da simulação, isto é, detalhar o que seria realmente pago!",7,11,45.0,omsimulador mostrar retirar conclusao detalhar realmente pagar
127,5,1,5,1,2,5,3,2,3,1,"Possuo uma certidão de tempo que não foi contabilizada na contagem. A certidão está no meu assentamento já averbada. 
Gostaria que alguém me auxiliasse ou dese retorno. 
Anderson Miron
Auditor Fiscal do Trabalho
",13,15,70.0,possuor certidao contabilizar contagem certidao assentamento averbar gostar alguem auxiliassar dese retorno andersonr miron auditor fiscal trabalho
128,3,2,4,2,3,1,3,4,2,1,,10,15,62.5,
130,5,4,4,4,5,1,5,4,4,5,,18,7,62.5,
131,5,1,5,1,5,1,5,1,5,1,"A possibilidade, em alguns fundamentos legais, de dispensar as piores contribuições previdenciárias, não fica clara de como será a disponibilização quando solicitarmos a aposentadoria. Como expressarmos esse desejo?",20,20,100.0,possibilidade algum fundamento legal dispensar piores contribuicao previdenciario claro disponibilizacao solicitarmos expressarr desejo
132,3,1,4,1,4,3,4,1,4,1,"Sugiro ampliarem o cálculo fazendo uma projeção, mesmo que com ressalvas, para quem ainda não preencheu os requisitos para a aposentadoria ",14,18,80.0,sugiro ampliar calculo projecao ressalva preencheu requisito
134,2,1,5,1,5,1,5,1,5,1,,17,20,92.5,
135,3,2,4,1,3,3,2,4,2,1,Não tenho.,9,14,57.5,
136,4,2,4,4,4,1,4,1,4,1,,15,16,77.5,
137,5,5,3,3,3,3,2,4,2,3,"É uma ferramenta muito útil e que eu sentia bastante falta. Certeza que será sucesso! 
No entanto, o campo onde precisamos eleger qual o tipo de aposentadoria precisa ser melhor orientado.
Todas as opções que apareceram pra mim estão realmente disponíveis?
São muitas opções que permitem uma confusão. Elas poderiam ser mais claras.
",10,7,42.5,ferramenta util sentir faltar sucesso entanto campo precisar eleger precisar orientar opcao aparecer pra realmente disponivel opcao permitir confusao claro
139,5,2,5,1,5,1,5,1,5,1,,20,19,97.5,
140,5,3,3,4,2,3,2,3,2,2,,9,10,47.5,
141,1,1,1,1,1,1,1,1,1,1,"O motivo que fez com que eu discordasse de tudo, é fato desse simulador não me contemplar ,já que sou PCD e essa simulação não tem essa opção. Minha sugestão: melhorem incluindo pessoa com PCD..",0,20,50.0,motivo discordar fato contemplar pcd opcao sugestao melhor incluir pessoa pcd
142,5,4,4,1,4,1,1,1,3,1,"Não entendi o q é pedágio. Na minha simulação diz q poderei me aposentar com 57 anos e 100% de pedágio, o q quer dizer isso? Acho q tinha q ter uma aba explicando isso.

Gostaria do simulador de redução de carga horária.",12,17,72.5,entendi pedagio ano pedagio querer aba explicar gostar reducao carga horario
143,2,3,3,1,3,1,3,1,5,2,,11,17,70.0,
147,3,3,3,3,3,3,3,3,3,3,,10,10,50.0,
149,5,1,5,5,4,1,5,1,5,2,Tanto que me ajudou a tomar a decisão da aposentadoria ,19,15,85.0,ajudar tomar decisao
151,5,1,5,1,5,1,5,1,2,4,"O simulador é ótimo, mas as informações não são f¿áceis de interpretar. No meu caso, por exemplo, que tenho 49 anos de serviço público, e tenho direito adquirido a qualquer das 7 simulações, somente consigo interpretar os resultados tendo lido a  Portaria SGP/SEDGG/ME Nº 10.360, de 6 de dezembro de 2022. Sem essas informações da Portaria fica complicada simplesmente pegar os dados extraídos.
Na prática qualquer servidor vai ter dúvida sobre qual opção poderá escolher para sua aposentadoria. ",17,17,85.0,informacao acel interpretar ano publico direito adquirir consigo interpretar resultado ler portaria sgp sedgg dezembro informacao portaria complicado simplesmente dado extrair pratica duvida opcao escolher
152,3,1,5,1,2,4,1,1,2,1,"Já averbei meu tempo de serviço em outros órgãos públicos, no entanto falta ser computado no simulador. O tempo aparece no CNIS e na CTPS digital,  mas não aparece no simulador. ",8,17,62.5,averbar outro orgao publico entanto faltar computar aparecer cnis ctps digital aparecer
153,1,3,3,1,5,5,3,3,1,1,Não posso respeitar um simulador que não respeita o servidor PCD. vindo de um governo que se diz inclusivo é um falha gritante. Mas como nenhum governo não diferencia nem a progressão funcional do servidor PCD quem dirá a aposentadoria. Na hora certa eu sei que terei que ir pra justiça. Isto nunca vai mudar.,8,12,50.0,respeitar respeitar pcd vir governo inclusivo falha gritante nenhum governo diferenciar progressao funcional pcd dir hora certo pra justica mudar
154,4,2,4,2,4,3,4,2,3,3,,14,13,67.5,
157,5,3,5,1,5,1,5,1,5,1,,20,18,95.0,
160,1,1,5,2,5,1,5,1,5,1,,16,19,87.5,
161,3,1,5,1,3,3,5,1,3,1,,14,18,80.0,
162,2,4,2,5,2,1,3,3,1,4,"Campo para incluir tempo de serviço fora do serviço público ou puxar dados da RF, ministério do Trabalho oi Previdência.
Quadro comparativo com vantagens e desvantagens dos diferentes possibilidades de aposentadoria.",5,8,32.5,campo incluir publico puxar dado ministerio trabalho previdencia quadro comparativo vantagem desvantagem diferentes possibilidade
163,5,3,2,3,4,4,4,3,4,1,"Gostei muito de ter acesso ao simulador de aposentadoria. Mas onde recorrer em caso de dúvidas. Então temos uma ótima ferramenta, mas gostaria que tivéssemos um suporte as dúvidas referentes a simulação efetuada. Obrigado. ",14,11,62.5,gostar acesso recorrer duvida otimo ferramenta gostar suporte duvida referente efetuar obrigar
164,5,1,5,2,2,2,3,1,4,2,"A dificuldade não foi de uso, mas de entendimento da parte legal.",14,17,77.5,dificuldade uso entendimento legal
166,4,2,4,2,4,1,4,2,3,2,,14,16,75.0,
168,3,3,2,2,2,3,4,4,4,4,Gostaria de constar os descartes para que pudéssemos fazer um comparativo entre as diversas variáveis de aposentadoria. Precisamos de ter claramente qual o diploma legal mais vantajoso para nossa aposentadoria voluntária,10,9,47.5,gostar constar descarte pudesser comparativo diverso variavel precisar claramente diploma legal vantajoso voluntario
169,5,5,1,1,1,1,1,5,1,5,O Simulador tem ser mais explicativo ao ponto de qualquer servidor de qualquer qualquer seja capaz de compreender os mínimos detalhes envolvido. Um bom sistema de ajuda e faq embutido no app ajudaria muito. Já seria um bom começo.,4,8,30.0,explicativo capaz compreender minimo detalhe envolver ajuda faq embuter app ajudar comeco
170,5,1,5,1,2,4,5,1,2,1,"Faltou constar o valor do Benefício Especial. Também deveria levar em conta as ações judiciais, com incorporação de valores automático, ou de uma forma mais fácil e ágil....",14,17,77.5,faltar constar beneficio especial levar conta acao judicial incorporacao automatico facil agil
171,4,3,2,3,2,2,3,2,1,1,Tem que permitir incluir tempo de CTC do RGPS ou de outro regime.,7,14,52.5,permitir incluir ctc rgps outro regime
172,1,1,5,1,5,1,5,5,5,1,Usei. Muito bom.,16,16,80.0,usei
178,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
179,3,1,5,2,1,1,4,1,5,1,,13,19,80.0,
181,5,1,4,4,4,2,4,1,4,1,,16,16,80.0,
183,1,1,1,3,1,5,3,5,1,1,,2,10,30.0,
185,4,2,4,3,4,4,4,2,4,1,,15,13,70.0,
190,3,1,5,1,2,3,3,1,2,1,Realizei a migração de regime e gostaria que o simulador de aposentadoria fizesse o cálculo do Benefício especial - BE. ,10,18,70.0,realizeir migracao regime gostar fizesse calculo beneficio especial
191,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
192,3,1,1,1,1,5,1,1,1,1,"Simplesmente não funciona. 
Uma vergonha que uma Máquina Pública caríssima como a brasileira não tenha desenvolvido ainda um
simulador de aposentadoria que funcione. Enquanto a Índia pousa uma sonda no ligar maia difícil da Lua o Brasil não consegue fazer um simulador de aposentadoria que funcione. Lastimável!",2,16,45.0,simplesmente funcionar vergonha maquina publico carissimo brasileira desenvolver funcione india pousar sonda ligar maia dificil lua brasil conseguir funcione lastimavel
193,5,1,4,1,4,1,5,1,3,1,"Sugiro deixar claro para o usuário como é estabelecido o índice de reajuste. 
De onde vem esse valor?... Explicar essa fonte ajuda a compreender como os cálculos são feitos. 

Também, sugiro incluir:
- exemplo ( pelo menos um)  de como vai ser calculada a ""renda líquida""  do aposentado. 
-O que (quais  itens) ser(ão) descontado(s) na folha em cada caso simulado?  Pelo que entendi, o que aparece como valor reajustado é a renda bruta.,, Acertei???? Fiquei com dúvidas...",16,20,90.0,sugiro deixar claro usuario estabelecer indice reajuste vir explicar fonte ajudar compreender calculo sugiro incluir calcular renda liquido aposentado item descontado folha entendi aparecer reajustar renda bruto acertar fiquei duvida
197,5,1,5,1,4,1,5,1,5,1,,19,20,97.5,
199,4,3,5,1,5,4,4,1,5,1,,18,15,82.5,
204,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
207,4,2,4,1,4,4,4,3,4,4,Não,15,11,65.0,
209,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
211,5,1,5,1,5,1,5,1,5,1,Estávamos precisando demais dessa ferramenta. Muito obrigada ,20,20,100.0,precisar ferramenta
214,5,1,5,2,4,2,4,1,5,2,"Apresentar além das datas prováveis para aposentadoria, uma estimativa do salário a ser recebido pelo servidor na aposentadoria, mesmo quando ainda faltar relativamente muito para a data da aposentadoria chegar (por exemplo, quando falta ainda uns 10 anos para a aposentadoria). O servidor passará a ter condições melhores de se programar para aposentar quando tiver uma estimativa do valor do salário que irá receber. Obrigado e saudações.  ",18,17,87.5,data provavel estimativa salario receber faltar relativamente data chegar faltar ano passar condicao programar estimativa salario receber obrigar saudacao
215,5,1,5,1,5,1,5,1,5,1,O simulador é uma ótima iniciativa,20,20,100.0,otimo iniciativa
217,4,4,4,1,4,1,4,1,4,1,,15,17,80.0,
218,4,1,5,1,5,1,5,1,5,1,,19,20,97.5,
219,2,2,4,2,4,1,5,1,2,1,"As funções do simulador em si são simples de serem usadas, mas faltam muitas informações. Ou seja, achei muito vago. No meu caso, três opções para aposentadoria integral sem nenhuma explicação. 
Outra coisa, como fica o tempo averbado para fins de aposentadoria? Isso será considerado numa atualização? É um dado que praia estar disponível no sougov, o tempo total que já foi averbado para que o cálculo seja condizente. 
Agradeço a iniciativa! É um tema de muito interesse, que precisamos entender.",12,18,75.0,funcao simples faltar informacao vago opcao integral nenhum explicacao outro averbado considerar atualizacao dado praia disponivel sougov total averbar calculo condizente agradeco iniciativa tema interesse precisar entender
220,5,5,5,1,5,1,5,1,5,5,Achei excelente....muito bom mesmo Parabéns!!!!,20,12,80.0,excelente parabens
224,5,2,3,1,3,1,4,2,2,2,,12,17,72.5,
227,5,5,1,5,1,5,1,5,1,5,"Deveria estar um texto disponível explicando, com mais detalhes, as opções legais de aposentadoria do servidor público ou então, um vídeo explicativo para melhor esclarecimento da ferramenta ",4,0,10.0,texto disponivel explicar detalhe opcao legal publico video explicativo esclarecimento ferramenta
229,1,1,5,2,5,1,5,1,1,3,"Não gostei, causou-me estranheza e insegurança, dessa forma me estimulou a não prosseguir até o fim! ",12,17,72.5,gostar causou estranheza inseguranca estimular prosseguir
230,3,1,5,1,3,3,4,1,4,1,,14,18,80.0,
231,5,1,5,1,5,1,5,1,5,1,"É muito rápido e prático.  Gostei muito...só que apenas migrou os períodos RPPS. Não consegui inserir os vínculos RGPS. Porquê? Não entendi o motivo. Mesmo assim,  o layout do simulador está excelente.",20,20,100.0,rapido pratico gostar migrar periodo rpps conseguir inserir vinculo rgp entendi motivo layout excelente
232,1,1,1,1,2,2,5,2,2,2,,6,17,57.5,
233,4,4,3,5,4,3,4,4,3,3,,13,6,47.5,
235,1,1,4,2,3,1,4,1,4,1,,11,19,75.0,
237,4,4,2,4,3,5,4,4,2,3,"Meu tempo no serviço público está errado , a contagem. Tive que abrir um processo Sei . ",10,5,37.5,publico errado contagem abrir processo
239,5,4,4,4,2,5,4,4,1,2,"Eu tenho período  que trabalhei clt, tenho a ctc e gostaria de saber como fazer para aparecer esse período  na minha simulação,  pois, só  consta o período  estatutário  e minha simulação  está  incompletada, pois, completo os requisitos com paridade  antes do que é  apresentado  no sistema.",11,6,42.5,periodo trabalhar clt ctc gostar aparecer periodo constar periodo estatutario incompletar completo requisito paridade
240,4,1,5,1,5,3,5,1,5,1,,19,18,92.5,
241,4,2,4,2,3,3,3,2,2,1,,11,15,65.0,
244,4,4,2,2,2,4,4,4,2,4,"O sistema traz diversas opções e não sei qual delas é mais benéfica. Também não ficou claro se posso me enquadrar entre as três opções disponíveis conforme meu interesse. Igualmente não vi diferença financeira entre as 3 opções que estavam disponíveis na simulação que fiz. Pode ser desconhecimento da minha parte, mas seria interessante que se há mais de uma opção efetivamente (o que ainda não entendi), que elas estejam arroladas em ordem crescente de vantagem para o servidor.",9,7,40.0,diversos opcao benefico claro enquadrar opcao disponivel conforme interesse igualmente diferenca financeiro opcao disponivel fiz desconhecimento interessante opcao efetivamente entendi arrolar ordem crescente vantagem
247,5,4,4,2,4,3,3,2,3,1,Poderia gerar um relatório com sugestões e procedimentos ,14,13,67.5,gerar relatorio sugestao procedimento
248,3,3,2,1,3,3,3,3,3,3,"Não gostei do simulador, pois não tem a simulação para pessoas com defiencias.",9,12,52.5,gostar pessoa defiencia
249,4,2,5,1,3,2,5,1,5,1,,17,18,87.5,
251,4,3,4,4,4,1,4,1,4,1,Falta possibilidade de incluir tempo de serviço pretérito ,15,15,75.0,possibilidade incluir preterito
258,2,2,5,1,3,1,5,1,5,1,,15,19,85.0,
262,4,2,2,4,4,4,4,4,2,2,,11,9,50.0,
266,5,1,5,3,5,1,5,5,5,4,Muito bom o somulador.,20,11,77.5,somulador
270,4,1,5,4,5,1,4,1,4,1,,17,17,85.0,
271,5,3,5,1,4,3,5,1,3,1,Faltou adicionar ao simulador a opção para cálculo de aposentadoria especial para servidor com deficiência ou que desempenha suas atividades em ambiente insalubre ou perigoso (que faz jus a adicional de insalubridade ou periculosidade). ,17,16,82.5,faltar adicionar opcao calculo especial deficiencia desempenhar atividade ambiente insalubre perigoso jus adicional insalubridade periculosidade
272,5,2,4,4,2,4,2,4,1,3,Não há uma previsão de valores a receber. O simulador apenas informa uma data aproximada para o preenchimento de requisitos. Não há uma previsão de valores a receber. Não há informações oi considerações sobre o benefício especial.,9,8,42.5,previsao receber informar data aproximar preenchimento requisito previsao receber informacao consideracao beneficio especial
273,5,5,5,1,5,1,5,1,5,1,Excelente ferramenta. Boa iniciativa.,20,16,90.0,excelente ferramenta iniciativa
274,5,4,4,2,4,2,4,1,4,3,"O valor a receber na aposentadoria, calculada na simulação, leva em consideração somente a média dos vencimentos auferidos no serviço público. Deveria também levar em conta todos os valores desde julho de 1994, e que já estão averbados para o serviço público no qual trabalha, para se ter um valor próximo do real a receber quando  da aposentadoria.",16,13,72.5,receber calcular levar consideracao media vencimento auferir publico levar conta julho averbados publico trabalhar real receber
276,4,3,3,3,4,2,2,4,3,2,O simulador poderia ter um link para a norma correspondente a cada simulação e não somente citar a correspondência na lei.,11,11,55.0,link norma correspondente citar correspondencia lei
278,5,1,5,1,5,1,5,1,5,1,,20,20,100.0,
280,3,2,2,4,4,3,2,3,4,4,"Infelizmente,  boa parte dos servidores que precisam deste serviço, precisam também saber dominar o conhecimento da informática. ",10,9,47.5,infelizmente precisar precisar dominar conhecimento informatica
281,4,1,4,1,1,2,4,1,1,2,Precisa criar um campo para que possamos lançar o tempo de contribuição. Como é simulador precisa permitir e edição para a correta simulação,9,18,67.5,precisar criar campo possar lancar contribuicao precisar permitir edicao correta
283,4,4,4,4,4,4,4,4,4,4,Gostei o Simulador está bem dinâmico .,15,5,50.0,gostar dinamico
284,4,2,2,2,2,3,4,2,2,1,Teria que ter espaço para inclusão de dados para projetar por exemplo possibilidade de averbação de tempo de serviço ,9,15,60.0,espaco inclusao dado projetar possibilidade averbacao
285,4,1,5,1,3,3,3,1,4,1,Faltam os valores da aposentadoria ,14,18,80.0,faltar
286,2,1,5,3,1,5,3,1,1,1,"O simulador deveria levar em consideração os dados do CNIS, visto que pode-se optar por somar esse tempo na aposentadoria ",7,14,52.5,levar consideracao dado cnis optar somar
287,5,5,5,1,5,1,5,1,5,3,,20,14,85.0,
289,5,1,5,1,4,3,3,1,3,2,"Seria mais útil que fosse disponibilizada a planilha de cálculo, ou ao menos a memória de cálculo propriamente dita, com as fórmulas utilizadas. Isto sim caracterizaria um simulador propriamente dito.",15,17,80.0,util disponibilizar planilha calculo memoria calculo propriamente formula utilizar caracterizar propriamente
290,3,2,4,2,2,2,3,2,3,2,Sem o simulador do benefício especial e da funpresp é inútil.,10,15,62.5,beneficio especial funpresp inutil
291,3,1,5,1,5,1,5,1,5,1,"Estão de parabéns com a iniciativa. 
Mas poderia ter duas funcionalidades adicionais:

1) alguma opção relativa ao tempo de aposentadoria especial, no caso de servidores que tem insalubridade.  
2) no caso de aposentadoria proporcional,  os valores estimados. ",18,20,95.0,parabens iniciativa funcionalidade adicional algum opcao relativo especial insalubridade proporcional estimar
293,2,1,5,1,1,5,5,1,1,1,Meu tempo de serviço está computado errado no simulador ,9,16,62.5,computado errar
295,5,5,5,1,5,1,5,1,5,1,,20,16,90.0,
296,5,1,5,1,5,1,5,1,5,1,Considero o simulador de aposentadoria uma ferramenta muito útil e fácil de usar. ,20,20,100.0,considerar ferramenta util facil
304,5,5,5,2,5,1,5,1,5,1,,20,15,87.5,
306,5,3,2,3,2,5,4,3,3,3,,11,8,47.5,
307,3,4,5,3,3,5,4,1,3,4,"Calculou minha aposentadoria em 26/8/72. Não faz sentido, se considera que comecei em abr/2011 (o que é falso pois tenho uns 26anos no RGPS), já tenho 13 no RPPS, ainda preciso de 48 anos? Sugiro permitir inserção de hipóteses para exercitar o cálculo",13,8,52.5,calcular sentido considerar comecar abr falso anos rgp rpps preciso ano sugiro permitir insercao hipotese exercitar calculo
