ID,"1
Acho que gostaria de utilizar o Simulador de Aposentadoria com frequência","2
Eu achei o Simulador de Aposentadoria muito complexo","3
Eu achei o Simulador de Aposentadoria fácil de usar","4
Eu acho que precisaria de ajuda de uma pessoa com conhecimentos específicos para usar o Simulador de Aposentadoria","5
Eu achei que as várias funções do Simulador de Aposentadoria estão muito bem integradas","6
Eu achei que o Simulador de Aposentadoria apresenta muita inconsistência","7
Eu imagino que as pessoas aprenderão como usar o Simulador de Aposentadoria rapidamente","8
Eu achei o Simulador de Aposentadoria difícil de usar","9
Eu me senti confiante usando o Simulador de Aposentadoria","10
Eu precisei aprender várias coisas novas antes de conseguir usar o Simulador de Aposentadoria","Agradeço a sua participação e abro o espaço para que você possa contribuir com alguma crítica, sugestão ou elogio sobre o Simulador de Aposentadoria."
86,5,1,5,1,3,5,5,1,1,1,"O cálculo da minha aposentadoria está estranho. Eu tenho 29 anos se serviço público federal, tomei posse em novembro de 1995. O cálculo indica que tenho 24 anos. Consultei o RH do instituto mas não obtive sucesso. Outro fato é que não tem a opção de aposentadoria especial e nem a conversão do tempo especial em comum.
Respeitosamente,
Renato Semmler
Funcionário do IPEN - CNEN
CEREP 1178807"
87,1,1,2,3,1,1,3,2,2,1,"O simulador não retornou nada, nem mesmo a prévia que o mesmo informa, então para mim não houve utilidade do mesmo."
92,4,4,5,4,5,3,5,2,5,4,
94,3,2,2,1,1,5,1,2,4,2,"O simulador deveria importar os dados do Meu INSS e da Carteira de Trabalho Digital, fornecendo informações coerentes sobre o tempo de aposentadoria. E não focando apenas no tempo de serviço publico do SIAPE atual.
Sei que breve teremos novidades e um recurso muito melhor, quem sabe, até averbando automáticamente o tempo de serviço do servidor em outros locais."
96,5,1,5,1,3,3,5,1,1,5,
97,1,1,2,2,2,2,2,1,2,2,"Esse simulador de aposentadoria não me contemplou,  pois sou PCD, e não foi possível realizar a simulação de aposentadoria. Ingressei no Ibge em vaga PCD e por lei posso me aposentar com 60 anos , só que o simulador  proporciona esta simulação pra PCD."
98,4,2,5,2,2,4,5,2,2,2,"O simulador não abre a regra de transição para quem entrou no serviço público em 2002. Só da a opção de aposentadoria com a media de todos os salários, portanto não mostra a realidade para servidores antigos."
100,5,1,5,1,5,4,5,1,4,1,"Gostei muito do simulador. Sou deficiente visual cadastrado no SIAPE como tal e o sistema não oferece a opção de aposentadoria especial.
Gostaria de aferir se os valores informados são realmente confiáveis"
102,5,1,5,1,5,1,5,1,5,1,É uma ferramenta  muito útil no momento em que os departamentos de RH estão sobrecarregados e com pouco pessoal. Como o programa faz a previsão da aposentadoria ele acaba permitindo sabermos quando podemos solicitar nosso abono permanência se esse for o objetivo. Parabéns aos responsáveis.
107,3,3,3,3,3,3,3,3,3,3,Sempre é bom ter uma pessoa que saiba ajudar os futuros aposentados
108,1,1,5,1,5,1,5,1,5,1,
109,5,1,5,4,4,1,4,1,5,1,"Poderia informar a data provável para aposentadoria, mas também a do abono de permanência."
110,5,2,4,2,5,5,3,3,3,3,Em várias simulações ele não apresenta nem a data provável da aposentadoria e nem o cálculo dos proventos.
111,4,1,4,1,4,4,4,1,4,1,
120,4,4,4,1,4,1,4,4,4,1,Acho que agregaria muito só simulador a remuneração estimada no término da simulação.
122,5,1,5,1,5,3,5,1,5,1,"Parabéns para todos que colaboraram com a criação e manutenção desse simulador. 
Ele é muito importante em indicar um norte fundamental para o planejamento do orçamento individual."
124,5,2,4,1,4,4,5,1,4,1,"O simulador precisa ser aperfeiçoado quanto ao percentual da a ser recebido da média das contribuições segundo regra do § 2º do art. 26 da EC 103/2019.
O simulador precisa incorporar o cálculo do benefício especial, pois esse valor fica definido no momento da adesão ao RPC, apenas sendo reajustado pela inflação."
126,2,4,4,4,3,4,2,1,1,1,"Omsimulador deveria no final mostrar o que seria retirado após conclusão da simulação, isto é, detalhar o que seria realmente pago!"
127,5,1,5,1,2,5,3,2,3,1,"Possuo uma certidão de tempo que não foi contabilizada na contagem. A certidão está no meu assentamento já averbada. 
Gostaria que alguém me auxiliasse ou dese retorno. 
Anderson Miron
Auditor Fiscal do Trabalho
"
128,3,2,4,2,3,1,3,4,2,1,
130,5,4,4,4,5,1,5,4,4,5,
131,5,1,5,1,5,1,5,1,5,1,"A possibilidade, em alguns fundamentos legais, de dispensar as piores contribuições previdenciárias, não fica clara de como será a disponibilização quando solicitarmos a aposentadoria. Como expressarmos esse desejo?"
132,3,1,4,1,4,3,4,1,4,1,"Sugiro ampliarem o cálculo fazendo uma projeção, mesmo que com ressalvas, para quem ainda não preencheu os requisitos para a aposentadoria "
134,2,1,5,1,5,1,5,1,5,1,
135,3,2,4,1,3,3,2,4,2,1,Não tenho.
136,4,2,4,4,4,1,4,1,4,1,
137,5,5,3,3,3,3,2,4,2,3,"É uma ferramenta muito útil e que eu sentia bastante falta. Certeza que será sucesso! 
No entanto, o campo onde precisamos eleger qual o tipo de aposentadoria precisa ser melhor orientado.
Todas as opções que apareceram pra mim estão realmente disponíveis?
São muitas opções que permitem uma confusão. Elas poderiam ser mais claras.
"
139,5,2,5,1,5,1,5,1,5,1,
140,5,3,3,4,2,3,2,3,2,2,
141,1,1,1,1,1,1,1,1,1,1,"O motivo que fez com que eu discordasse de tudo, é fato desse simulador não me contemplar ,já que sou PCD e essa simulação não tem essa opção. Minha sugestão: melhorem incluindo pessoa com PCD.."
142,5,4,4,1,4,1,1,1,3,1,"Não entendi o q é pedágio. Na minha simulação diz q poderei me aposentar com 57 anos e 100% de pedágio, o q quer dizer isso? Acho q tinha q ter uma aba explicando isso.

Gostaria do simulador de redução de carga horária."
143,2,3,3,1,3,1,3,1,5,2,
147,3,3,3,3,3,3,3,3,3,3,
149,5,1,5,5,4,1,5,1,5,2,Tanto que me ajudou a tomar a decisão da aposentadoria 
151,5,1,5,1,5,1,5,1,2,4,"O simulador é ótimo, mas as informações não são f¿áceis de interpretar. No meu caso, por exemplo, que tenho 49 anos de serviço público, e tenho direito adquirido a qualquer das 7 simulações, somente consigo interpretar os resultados tendo lido a  Portaria SGP/SEDGG/ME Nº 10.360, de 6 de dezembro de 2022. Sem essas informações da Portaria fica complicada simplesmente pegar os dados extraídos.
Na prática qualquer servidor vai ter dúvida sobre qual opção poderá escolher para sua aposentadoria. "
152,3,1,5,1,2,4,1,1,2,1,"Já averbei meu tempo de serviço em outros órgãos públicos, no entanto falta ser computado no simulador. O tempo aparece no CNIS e na CTPS digital,  mas não aparece no simulador. "
153,1,3,3,1,5,5,3,3,1,1,Não posso respeitar um simulador que não respeita o servidor PCD. vindo de um governo que se diz inclusivo é um falha gritante. Mas como nenhum governo não diferencia nem a progressão funcional do servidor PCD quem dirá a aposentadoria. Na hora certa eu sei que terei que ir pra justiça. Isto nunca vai mudar.
154,4,2,4,2,4,3,4,2,3,3,
157,5,3,5,1,5,1,5,1,5,1,
160,1,1,5,2,5,1,5,1,5,1,
161,3,1,5,1,3,3,5,1,3,1,
162,2,4,2,5,2,1,3,3,1,4,"Campo para incluir tempo de serviço fora do serviço público ou puxar dados da RF, ministério do Trabalho oi Previdência.
Quadro comparativo com vantagens e desvantagens dos diferentes possibilidades de aposentadoria."
163,5,3,2,3,4,4,4,3,4,1,"Gostei muito de ter acesso ao simulador de aposentadoria. Mas onde recorrer em caso de dúvidas. Então temos uma ótima ferramenta, mas gostaria que tivéssemos um suporte as dúvidas referentes a simulação efetuada. Obrigado. "
164,5,1,5,2,2,2,3,1,4,2,"A dificuldade não foi de uso, mas de entendimento da parte legal."
166,4,2,4,2,4,1,4,2,3,2,
168,3,3,2,2,2,3,4,4,4,4,Gostaria de constar os descartes para que pudéssemos fazer um comparativo entre as diversas variáveis de aposentadoria. Precisamos de ter claramente qual o diploma legal mais vantajoso para nossa aposentadoria voluntária
169,5,5,1,1,1,1,1,5,1,5,O Simulador tem ser mais explicativo ao ponto de qualquer servidor de qualquer qualquer seja capaz de compreender os mínimos detalhes envolvido. Um bom sistema de ajuda e faq embutido no app ajudaria muito. Já seria um bom começo.
170,5,1,5,1,2,4,5,1,2,1,"Faltou constar o valor do Benefício Especial. Também deveria levar em conta as ações judiciais, com incorporação de valores automático, ou de uma forma mais fácil e ágil...."
171,4,3,2,3,2,2,3,2,1,1,Tem que permitir incluir tempo de CTC do RGPS ou de outro regime.
172,1,1,5,1,5,1,5,5,5,1,Usei. Muito bom.
178,5,1,5,1,5,1,5,1,5,1,
179,3,1,5,2,1,1,4,1,5,1,
181,5,1,4,4,4,2,4,1,4,1,
183,1,1,1,3,1,5,3,5,1,1,
185,4,2,4,3,4,4,4,2,4,1,
190,3,1,5,1,2,3,3,1,2,1,Realizei a migração de regime e gostaria que o simulador de aposentadoria fizesse o cálculo do Benefício especial - BE. 
191,5,1,5,1,5,1,5,1,5,1,
192,3,1,1,1,1,5,1,1,1,1,"Simplesmente não funciona. 
Uma vergonha que uma Máquina Pública caríssima como a brasileira não tenha desenvolvido ainda um
simulador de aposentadoria que funcione. Enquanto a Índia pousa uma sonda no ligar maia difícil da Lua o Brasil não consegue fazer um simulador de aposentadoria que funcione. Lastimável!"
193,5,1,4,1,4,1,5,1,3,1,"Sugiro deixar claro para o usuário como é estabelecido o índice de reajuste. 
De onde vem esse valor?... Explicar essa fonte ajuda a compreender como os cálculos são feitos. 

Também, sugiro incluir:
- exemplo ( pelo menos um)  de como vai ser calculada a ""renda líquida""  do aposentado. 
-O que (quais  itens) ser(ão) descontado(s) na folha em cada caso simulado?  Pelo que entendi, o que aparece como valor reajustado é a renda bruta.,, Acertei???? Fiquei com dúvidas..."
197,5,1,5,1,4,1,5,1,5,1,
199,4,3,5,1,5,4,4,1,5,1,
204,5,1,5,1,5,1,5,1,5,1,
207,4,2,4,1,4,4,4,3,4,4,Não
209,5,1,5,1,5,1,5,1,5,1,
211,5,1,5,1,5,1,5,1,5,1,Estávamos precisando demais dessa ferramenta. Muito obrigada 
214,5,1,5,2,4,2,4,1,5,2,"Apresentar além das datas prováveis para aposentadoria, uma estimativa do salário a ser recebido pelo servidor na aposentadoria, mesmo quando ainda faltar relativamente muito para a data da aposentadoria chegar (por exemplo, quando falta ainda uns 10 anos para a aposentadoria). O servidor passará a ter condições melhores de se programar para aposentar quando tiver uma estimativa do valor do salário que irá receber. Obrigado e saudações.  "
215,5,1,5,1,5,1,5,1,5,1,O simulador é uma ótima iniciativa
217,4,4,4,1,4,1,4,1,4,1,
218,4,1,5,1,5,1,5,1,5,1,
219,2,2,4,2,4,1,5,1,2,1,"As funções do simulador em si são simples de serem usadas, mas faltam muitas informações. Ou seja, achei muito vago. No meu caso, três opções para aposentadoria integral sem nenhuma explicação. 
Outra coisa, como fica o tempo averbado para fins de aposentadoria? Isso será considerado numa atualização? É um dado que praia estar disponível no sougov, o tempo total que já foi averbado para que o cálculo seja condizente. 
Agradeço a iniciativa! É um tema de muito interesse, que precisamos entender."
220,5,5,5,1,5,1,5,1,5,5,Achei excelente....muito bom mesmo Parabéns!!!!
224,5,2,3,1,3,1,4,2,2,2,
227,5,5,1,5,1,5,1,5,1,5,"Deveria estar um texto disponível explicando, com mais detalhes, as opções legais de aposentadoria do servidor público ou então, um vídeo explicativo para melhor esclarecimento da ferramenta "
229,1,1,5,2,5,1,5,1,1,3,"Não gostei, causou-me estranheza e insegurança, dessa forma me estimulou a não prosseguir até o fim! "
230,3,1,5,1,3,3,4,1,4,1,
231,5,1,5,1,5,1,5,1,5,1,"É muito rápido e prático.  Gostei muito...só que apenas migrou os períodos RPPS. Não consegui inserir os vínculos RGPS. Porquê? Não entendi o motivo. Mesmo assim,  o layout do simulador está excelente."
232,1,1,1,1,2,2,5,2,2,2,
233,4,4,3,5,4,3,4,4,3,3,
235,1,1,4,2,3,1,4,1,4,1,
237,4,4,2,4,3,5,4,4,2,3,"Meu tempo no serviço público está errado , a contagem. Tive que abrir um processo Sei . "
239,5,4,4,4,2,5,4,4,1,2,"Eu tenho período  que trabalhei clt, tenho a ctc e gostaria de saber como fazer para aparecer esse período  na minha simulação,  pois, só  consta o período  estatutário  e minha simulação  está  incompletada, pois, completo os requisitos com paridade  antes do que é  apresentado  no sistema."
240,4,1,5,1,5,3,5,1,5,1,
241,4,2,4,2,3,3,3,2,2,1,
244,4,4,2,2,2,4,4,4,2,4,"O sistema traz diversas opções e não sei qual delas é mais benéfica. Também não ficou claro se posso me enquadrar entre as três opções disponíveis conforme meu interesse. Igualmente não vi diferença financeira entre as 3 opções que estavam disponíveis na simulação que fiz. Pode ser desconhecimento da minha parte, mas seria interessante que se há mais de uma opção efetivamente (o que ainda não entendi), que elas estejam arroladas em ordem crescente de vantagem para o servidor."
247,5,4,4,2,4,3,3,2,3,1,Poderia gerar um relatório com sugestões e procedimentos 
248,3,3,2,1,3,3,3,3,3,3,"Não gostei do simulador, pois não tem a simulação para pessoas com defiencias."
249,4,2,5,1,3,2,5,1,5,1,
251,4,3,4,4,4,1,4,1,4,1,Falta possibilidade de incluir tempo de serviço pretérito 
258,2,2,5,1,3,1,5,1,5,1,
262,4,2,2,4,4,4,4,4,2,2,
266,5,1,5,3,5,1,5,5,5,4,Muito bom o somulador.
270,4,1,5,4,5,1,4,1,4,1,
271,5,3,5,1,4,3,5,1,3,1,Faltou adicionar ao simulador a opção para cálculo de aposentadoria especial para servidor com deficiência ou que desempenha suas atividades em ambiente insalubre ou perigoso (que faz jus a adicional de insalubridade ou periculosidade). 
272,5,2,4,4,2,4,2,4,1,3,Não há uma previsão de valores a receber. O simulador apenas informa uma data aproximada para o preenchimento de requisitos. Não há uma previsão de valores a receber. Não há informações oi considerações sobre o benefício especial.
273,5,5,5,1,5,1,5,1,5,1,Excelente ferramenta. Boa iniciativa.
274,5,4,4,2,4,2,4,1,4,3,"O valor a receber na aposentadoria, calculada na simulação, leva em consideração somente a média dos vencimentos auferidos no serviço público. Deveria também levar em conta todos os valores desde julho de 1994, e que já estão averbados para o serviço público no qual trabalha, para se ter um valor próximo do real a receber quando  da aposentadoria."
276,4,3,3,3,4,2,2,4,3,2,O simulador poderia ter um link para a norma correspondente a cada simulação e não somente citar a correspondência na lei.
278,5,1,5,1,5,1,5,1,5,1,
280,3,2,2,4,4,3,2,3,4,4,"Infelizmente,  boa parte dos servidores que precisam deste serviço, precisam também saber dominar o conhecimento da informática. "
281,4,1,4,1,1,2,4,1,1,2,Precisa criar um campo para que possamos lançar o tempo de contribuição. Como é simulador precisa permitir e edição para a correta simulação
283,4,4,4,4,4,4,4,4,4,4,Gostei o Simulador está bem dinâmico .
284,4,2,2,2,2,3,4,2,2,1,Teria que ter espaço para inclusão de dados para projetar por exemplo possibilidade de averbação de tempo de serviço 
285,4,1,5,1,3,3,3,1,4,1,Faltam os valores da aposentadoria 
286,2,1,5,3,1,5,3,1,1,1,"O simulador deveria levar em consideração os dados do CNIS, visto que pode-se optar por somar esse tempo na aposentadoria "
287,5,5,5,1,5,1,5,1,5,3,
289,5,1,5,1,4,3,3,1,3,2,"Seria mais útil que fosse disponibilizada a planilha de cálculo, ou ao menos a memória de cálculo propriamente dita, com as fórmulas utilizadas. Isto sim caracterizaria um simulador propriamente dito."
290,3,2,4,2,2,2,3,2,3,2,Sem o simulador do benefício especial e da funpresp é inútil.
291,3,1,5,1,5,1,5,1,5,1,"Estão de parabéns com a iniciativa. 
Mas poderia ter duas funcionalidades adicionais:

1) alguma opção relativa ao tempo de aposentadoria especial, no caso de servidores que tem insalubridade.  
2) no caso de aposentadoria proporcional,  os valores estimados. "
293,2,1,5,1,1,5,5,1,1,1,Meu tempo de serviço está computado errado no simulador 
295,5,5,5,1,5,1,5,1,5,1,
296,5,1,5,1,5,1,5,1,5,1,Considero o simulador de aposentadoria uma ferramenta muito útil e fácil de usar. 
304,5,5,5,2,5,1,5,1,5,1,
306,5,3,2,3,2,5,4,3,3,3,
307,3,4,5,3,3,5,4,1,3,4,"Calculou minha aposentadoria em 26/8/72. Não faz sentido, se considera que comecei em abr/2011 (o que é falso pois tenho uns 26anos no RGPS), já tenho 13 no RPPS, ainda preciso de 48 anos? Sugiro permitir inserção de hipóteses para exercitar o cálculo"
312,5,5,2,5,3,1,5,2,5,1,"Eu gostaria que tivesse jeito de colocar o tempo de contribuição pelo regime geral de previdência para somar com o regime próprio. Isso porque eu não averbei o RGP porque não consigo fazer as contas do que seria mais vantajoso para mim, quanto tempo aproveitar. A possibilidade de poder simular esse tempo junto com o RPP me ajudaria muito na tomada de decisão. "
313,5,1,5,2,3,2,1,1,5,1,
315,3,2,4,2,5,3,5,2,4,2,"Não sei como seria a forma, mas acredito que deveria ficar mais evidenciado a possibilidade de usar o descarte legal de contribuições. A possibilidade de aumentar o valor do benefício incial do benefício de aposentadoria, em muitos casos, é expressivo."
318,4,4,4,4,3,1,5,1,5,1,
324,5,1,5,1,5,1,5,1,5,1,
326,1,1,1,1,1,1,1,1,1,1,
327,1,1,4,1,1,5,5,1,1,1,
328,4,1,4,2,4,2,4,1,3,1,
330,2,2,1,3,1,5,1,4,1,3,Lamento. Mas a funcionalidade só é útil para quem possui idade para se aposentar. 
333,4,3,5,3,4,4,5,1,4,1,"Faltou colocar memoria de calculo de tempo averbado e simulação do impacto dessa memoria de calculo no valor do beneficio.

Faltou simular o valor do beneficio mesmo para quem ainda não tem direito a aposentadoria. "
335,5,1,5,1,5,1,5,1,5,1,
338,4,5,1,5,3,5,1,5,1,3,
339,4,4,2,3,3,4,3,4,2,3,"O simulador não conseguiu fazer a simulação no meu caso. Durante o processo ele forneceu uma data prevista de aposentadoria, mas ao final da simulação a data estava em branco. Refiz várias vezes, mas sem sucesso."
341,5,2,2,4,4,3,3,4,4,3,"Eu gostei muito da ideia deste módulo Simulador de Aposentadoria, mas achei um pouco confuso em virtude das várias alterações legislativas, dentre ela, a reforma da previdência. No meu caso, sou professor EBTT, tenho 51 anos e 20 anos de contribuição como servidor público (professor EBTT) e o simulador não foi consistente no resultado se eu poderia me aposentar aos 61 anos com 30 anos de contribuição ou se eu me enquadro na reforma da previdência que terei de me aposentar com idade mínima de 65."
342,4,5,1,5,1,5,1,5,1,5," Creio que o simulador deveria ser mais fácil e mais explicativo. Aparecem mensagens as quais não entendo. Penso que se é uma ferramenta para o servidor ter noção sobre a aposentadoria, o recurso de deveria ser mais fácil e intuitivo."
344,4,2,5,4,4,3,5,4,4,4,GOSTEI DE TER UMA LUZ PARA TER ALGUM ESCLARECIMENTO A MAIS PARA SABER A DATA PROVAVEL PARA PEDIR A APOSENTADORIA.
347,2,4,3,3,3,5,4,4,2,4,A minha data de ingresso estava correta porém o tempo total de contribuição até a data de hoje estava errada e não tem a opção de identificar o que estava sendo computado errado.
350,3,2,5,2,4,4,4,1,2,2,A contagem do prazo no serviço público está interrompida desde a data da Emenda Constitucional
356,5,5,2,5,1,5,1,5,1,5,A proposta é ótima. Mas parece precisar de aprimoramentos. Não entendi porque o resultado de todas as opções foi zero. Não é clara a diferença entre as opções de simulação. Sugestão: elaborarem vídeos com explicações com linguagem clara e demonstrações com exemplos hipotéticos.
357,4,3,3,3,3,3,3,3,3,3,
358,3,3,3,3,1,4,3,3,1,3,O simulador NÃO está utilizando os meus tempos de serviço estadual e municipal que já estão averbados no meu assentamento funci9nal
359,4,4,5,3,1,5,3,5,3,4,O simulador não considera todos os meus vínculos com o serviço público.
360,4,1,5,1,2,2,5,1,2,1,Um recurso que faltava
362,3,3,4,2,3,3,3,3,3,3,
366,5,1,5,1,5,1,5,1,5,1,
371,5,3,3,3,1,5,3,3,3,3,"Sou servidora movimentada para outro órgão e o simulador não funciona para mim. No perfil do órgão de origem aparece a mensagem ""Erro ao acessar rotina O92116GX. Código: 1. Mensagem: SERVIDOR(A) SEM DADOS DE INGRESSO NO SERV. PÚBLICO."" No perfil do órgão de exercício atual aparece a mensagem ""Sua situação funcional não se enquadra entre as previstas para simulação de aposentadoria."" "
372,3,3,2,4,3,1,3,4,3,2,Não
373,5,1,5,1,4,4,5,1,3,1,"O simulador busca o que está somente no CNIS, mas a informação no CNIS nem sempre expressa a realidade, como no meu caso computou 1 ano a menos."
374,5,1,5,1,1,5,5,1,1,1,"Meus dados estão errados no simulador .Solicitei uma certidão só para propiciar a correção. A certidão foi emitida errada com os mesmos dados errados constantes no simulador . Pedi correção da certidão, foi emitida nova com dados corretos, mas no simulador continuam os dados errados. ( meu tempo de serviço publico está á menor, não obstante seja todo federal )"
376,5,1,5,5,5,1,5,1,5,1,"Penso que o simulador é fácil de ser usado, todavia não concordo com a resposta. No meu caso, terei que trabalhar mais 2 anos, além dos 62, todavia até lá certamente teremos outra reforma. "
381,4,2,3,1,3,4,3,4,4,4,
383,3,2,5,2,2,2,4,2,5,1,"Tem que deixar alterar a data de início no serviço público, pois no meu caso já vim de outro órgão (04/1998). Tem que deixar incluir vínculos de CTC RGPS, pois é apenas uma simulação."
385,4,4,5,4,4,3,4,3,4,3,"Acho que para quem já tinha exercido a profissão de professor em outras instituições públicas, o programa já deveria somar o tempo de serviço  e não aconteceu. Então tenho que ver ar para que o sistema mostre real.ente quanto tempo falta para minha aposentadoria, pois já tenho 30 anos de contribuição, faltando a idade (7 anos) e mais algum tempo de serviço talvez!!!"
388,4,2,4,2,2,2,2,2,4,2,regular
390,3,2,5,3,4,2,4,1,3,2,
391,4,1,5,3,3,2,4,1,4,1,Deveria ser possível incluir o período trabalhado no regime geral
395,4,1,5,1,5,1,5,1,5,1,"O SIMULADOR É ÓTIMO, RUIM VAI SER MINHA APOSENTADORIA SÓ EM 2058. "
396,5,4,5,2,5,2,5,2,5,2,
398,4,4,2,4,3,4,2,4,2,3,"Eu entrei no serviço público em 27.11.1992, tornei-me efetivo em 1999, sempre como professor de Educação Básica  do Ensino Público do Estado de São Paulo, desde então não tive nenhum dia fora do serviço público (embora tenha uma licença sem vencimento entre os anos de 2004 e 2006). Esse tempo ainda não foi averbado pelo minha Instituição atual, mas o Simulador não traz a opção de considerar esse tempo. "
399,5,2,4,4,2,2,4,1,4,2,
403,4,1,4,4,3,2,3,2,2,2,"Não tive certeza se o simulador traz o resultado correto de minha aposentadoria. De qualquer forma, ajudou bastante para se ter uma ideia do tempo. "
406,1,5,1,5,5,5,1,5,1,5,
410,5,1,5,1,5,1,5,1,5,1,
411,5,1,5,4,4,1,5,1,5,1,Servidor público com pouco tempo de serviço não consegui fazer simulação.
412,3,2,4,4,4,3,4,2,4,3,
413,5,1,5,1,3,1,1,1,5,1,
415,4,4,4,1,3,2,3,2,3,1,
416,5,4,4,4,4,1,4,2,4,2,
417,2,4,2,4,2,4,2,4,5,4,
419,4,4,1,4,4,4,3,4,1,2,Em nenhuma das possibilidades consegui simular o valor de minha aposentadoria. 
420,5,1,4,1,4,1,5,1,4,1,Sugiro detalhar as gratificações que após aposentado o servidor terá no seu contracheque.
421,2,2,5,2,4,4,4,2,5,1,"O simulador não leva em conta a aposentadoria de servidor com deficiência, que é APOSENTADORIA ESPECIAL. Para mim é uma falha séria. "
424,3,1,5,1,5,1,5,1,5,1,
426,5,3,2,4,2,3,2,4,2,3,
429,5,1,1,1,1,5,3,3,1,3,Simulador não consegue entender minha data de entrada no serviço público e não dá continuidade na simulação.
430,5,2,5,1,4,1,5,1,5,1,"Ouvi dizer que,  caso o servidor opte por se aposentar pela condição da média dos recolhimentos,  a paridade dos reajustes serão condicionadas aos reajustes do INSS. Talvez seja importante deixar esclarecido essa condição para o servidor ter mais insumos para sua decisão. "
431,5,1,5,1,4,5,1,1,5,1,Não tenho sugestões.
432,3,4,2,5,3,3,2,4,2,3,
437,4,1,5,1,2,4,5,1,4,2,"Gostaria que fosse incluído a possibilidade de inclusão de vínculo com remuneração, apenas para simular, para ter ideia se vale ou não a inclusão de um vínculo na CTC."
439,2,1,2,2,2,2,2,1,2,2,
